train_scope,eval_scope,model,eval_rows,target_mean,target_max,baseline_MAE,baseline_RMSE,baseline_R2,MAE,RMSE,R2
2023_2024_강우장마철학습,2025_강우일,RandomForest,2190,13.388744292237444,753.346,5.304164383561643,24.460923637302706,0.5934207301004468,6.124655152548184,23.874747997518853,0.6126735811846185
2023_2024_강우장마철학습,2025_강한강우,RandomForest,1334,19.220437781109442,753.346,7.728508995502249,31.27960608593568,0.5747186991778804,9.292643153528166,30.56179507121983,0.5940136278042646
2023_2024_강우장마철학습,2025_장마철,RandomForest,2655,10.886660263653484,753.346,4.18823352165725,22.121684770332617,0.5974117373363292,4.743528623427767,21.43877704201394,0.6218842866931077
2023_2024_강우장마철학습,2025_유입량증가상위5퍼센트,RandomForest,371,31.45563611859838,753.346,16.748733153638813,52.04273547514436,0.5461693940268657,13.34653221934636,42.05374719533674,0.7036650002811861
2023_2024_강우장마철학습,2025_유입량상위5퍼센트,RandomForest,382,58.78225130890052,753.346,22.641628272251307,58.31080895749506,0.42544519102066813,26.187119080399444,56.171830671714865,0.46682412911166404
2023_2024_강우장마철학습,2025_강한강우_그리고_유입량증가상위5퍼센트,RandomForest,202,52.54391089108911,753.346,27.71221782178218,70.43861107607626,0.502513703035907,22.410563239513674,56.92172886847028,0.6751254284803432
2023_2024_강우장마철학습,2025_전체,ExtraTrees,7778,5.988195808691181,753.346,2.309639110311134,13.049611575390973,0.6175470640024252,2.4945821702722784,12.704524184675748,0.6375069888001019
2023_2024_강우장마철학습,2025_강우일,ExtraTrees,2190,13.388744292237444,753.346,5.304164383561643,24.460923637302706,0.5934207301004468,6.506963535129375,23.858589040324606,0.613197705919123
2023_2024_강우장마철학습,2025_강한강우,ExtraTrees,1334,19.220437781109442,753.346,7.728508995502249,31.27960608593568,0.5747186991778804,9.884936580559721,30.519651967850397,0.5951325234086283
2023_2024_강우장마철학습,2025_장마철,ExtraTrees,2655,10.886660263653484,753.346,4.18823352165725,22.121684770332617,0.5974117373363292,4.966870324310524,21.249057302035766,0.6285468500739548
2023_2024_강우장마철학습,2025_유입량증가상위5퍼센트,ExtraTrees,371,31.45563611859838,753.346,16.748733153638813,52.04273547514436,0.5461693940268657,13.871643549505839,42.831413162288555,0.6926038978044535
2023_2024_강우장마철학습,2025_유입량상위5퍼센트,ExtraTrees,382,58.78225130890052,753.346,22.641628272251307,58.31080895749506,0.42544519102066813,28.80089533403141,56.57851646376595,0.45907576146927787
2023_2024_강우장마철학습,2025_강한강우_그리고_유입량증가상위5퍼센트,ExtraTrees,202,52.54391089108911,753.346,27.71221782178218,70.43861107607626,0.502513703035907,23.363603180198016,57.9764969514389,0.6629739294267956
2023_2024_강우장마철학습,2025_전체,GradientBoosting,7778,5.988195808691181,753.346,2.309639110311134,13.049611575390973,0.6175470640024252,2.279130594488882,11.916488805044818,0.6810816944933655
2023_2024_강우장마철학습,2025_강우일,GradientBoosting,2190,13.388744292237444,753.346,5.304164383561643,24.460923637302706,0.5934207301004468,5.508133538016004,22.351630117136274,0.6605170777435341
2023_2024_강우장마철학습,2025_강한강우,GradientBoosting,1334,19.220437781109442,753.346,7.728508995502249,31.27960608593568,0.5747186991778804,8.23244537085086,28.600943635708308,0.6444387195944226
2023_2024_강우장마철학습,2025_장마철,GradientBoosting,2655,10.886660263653484,753.346,4.18823352165725,22.121684770332617,0.5974117373363292,4.344902712180178,20.087327849756917,0.668052772356402
2023_2024_강우장마철학습,2025_유입량증가상위5퍼센트,GradientBoosting,371,31.45563611859838,753.346,16.748733153638813,52.04273547514436,0.5461693940268657,14.788501372515531,44.124828014002226,0.6737582031149476
2023_2024_강우장마철학습,2025_유입량상위5퍼센트,GradientBoosting,382,58.78225130890052,753.346,22.641628272251307,58.31080895749506,0.42544519102066813,23.657824867747657,53.16413846234339,0.522392770747874
2023_2024_강우장마철학습,2025_강한강우_그리고_유입량증가상위5퍼센트,GradientBoosting,202,52.54391089108911,753.346,27.71221782178218,70.43861107607626,0.502513703035907,24.881690212309053,59.72403735105068,0.642350294423288
